# 2-Theta   Intensity
46.7243   32.0
46.7493   42.0
46.7743   43.0
46.7993   50.0
46.8243   56.0
46.8493   50.0
46.8743   38.0
46.8993   59.0
46.9243   70.0
46.9493   57.0
46.9743   65.0
46.9993   65.0
47.0243   81.0
47.0493   86.0
47.0743   104.0
47.0993   110.0
47.1243   132.0
47.1493   166.0
47.1743   169.0
47.1993   201.0
47.2243   262.0
47.2493   327.0
47.2743   353.0
47.2993   470.0
47.3243   610.0
47.3493   906.0
47.3743   1406.0
47.3993   2550.0
47.4243   4747.0
47.4493   8968.0
47.4743   13994.0
47.4993   13156.0
47.5243   7921.0
47.5493   4462.0
47.5743   5169.0
47.5993   6988.0
47.6243   6416.0
47.6493   3516.0
47.6743   1428.0
47.6993   676.0
47.7243   412.0
47.7493   338.0
47.7743   285.0
47.7993   210.0
47.8243   176.0
47.8493   161.0
47.8743   139.0
47.8993   104.0
47.9243   96.0
47.9493   96.0
47.9743   64.0
47.9993   57.0
48.0243   70.0
48.0493   65.0
48.0743   53.0
48.0993   54.0
48.1243   46.0
48.1493   59.0
48.1743   44.0
48.1993   40.0
48.2243   46.0
48.2493   32.0
48.2743   39.0
48.2993   43.0
48.3243   36.0
48.3493   46.0
48.3743   38.0
48.3993   36.0
48.4243   38.0
48.4493   36.0
48.4743   24.0
48.4993   24.0
48.5243   21.0
48.5493   29.0
48.5743   27.0
48.5993   30.0
48.6243   16.0
48.6493   27.0
48.6743   34.0
48.6993   12.0
48.7243   28.0
48.7493   22.0
48.7743   28.0
48.7993   20.0
48.8243   22.0
48.8493   15.0
48.8743   26.0
48.8993   19.0
48.9243   21.0
48.9493   31.0
48.9743   22.0
48.9993   15.0
49.0243   16.0
49.0493   20.0
49.0743   22.0
49.0993   21.0
49.1243   17.0
49.1493   28.0
49.1743   12.0
49.1993   24.0
49.2243   17.0
49.2493   10.0
49.2743   22.0
49.2993   15.0
49.3243   21.0
49.3493   12.0
49.3743   17.0
49.3993   12.0
49.4243   20.0
49.4493   12.0
49.4743   17.0
49.4993   25.0
49.5243   25.0
49.5493   9.0
49.5743   13.0
49.5993   12.0
49.6243   10.0
49.6493   24.0
49.6743   16.0
49.6993   10.0
49.7243   17.0
49.7493   12.0
49.7743   13.0
49.7993   12.0
49.8243   15.0
49.8493   12.0
49.8743   12.0
49.8993   15.0
49.9243   15.0
49.9493   15.0
49.9743   12.0
49.9993   13.0
50.0243   15.0
50.0493   13.0
50.0743   15.0
50.0993   12.0
50.1243   16.0
50.1493   10.0
50.1743   7.0
50.1993   12.0
50.2243   16.0
50.2493   16.0
50.2743   13.0
50.2993   17.0
50.3243   22.0
50.3493   19.0
50.3743   12.0
50.3993   25.0
50.4243   20.0
50.4493   16.0
50.4743   25.0
50.4993   32.0
50.5243   31.0
50.5493   19.0
50.5743   20.0
50.5993   20.0
50.6243   4.0
50.6493   12.0
50.6743   26.0
50.6993   19.0
50.7243   17.0
50.7493   16.0
50.7743   13.0
50.7993   10.0
50.8243   15.0
50.8493   7.0
50.8743   17.0
50.8993   16.0
50.9243   13.0
50.9493   12.0
50.9743   15.0
50.9993   12.0
51.0243   19.0
51.0493   16.0
51.0743   10.0
51.0993   13.0
51.1243   21.0
51.1493   16.0
51.1743   10.0
51.1993   12.0
51.2243   12.0
51.2493   19.0
51.2743   16.0
51.2993   12.0
51.3243   16.0
51.3493   10.0
51.3743   17.0
51.3993   15.0
51.4243   10.0
51.4493   9.0
51.4743   12.0
51.4993   10.0
51.5243   16.0
51.5493   13.0
51.5743   10.0
51.5993   19.0
51.6243   10.0
51.6493   10.0
51.6743   19.0
51.6993   16.0
51.7243   10.0
51.7493   15.0
51.7743   13.0
51.7993   16.0
51.8243   19.0
51.8493   19.0
51.8743   15.0
51.8993   10.0
51.9243   12.0
51.9493   25.0
51.9743   10.0
51.9993   21.0
52.0243   10.0
52.0493   7.0
52.0743   13.0
52.0993   10.0
52.1243   15.0
52.1493   12.0
52.1743   15.0
52.1993   19.0
52.2243   22.0
52.2493   5.0
52.2743   9.0
52.2993   12.0
52.3243   10.0
52.3493   16.0
52.3743   17.0
52.3993   21.0
52.4243   13.0
52.4493   22.0
52.4743   19.0
52.4993   19.0
52.5243   19.0
52.5493   19.0
52.5743   10.0
52.5993   20.0
52.6243   15.0
52.6493   13.0
52.6743   13.0
52.6993   12.0
52.7243   17.0
52.7493   19.0
52.7743   21.0
52.7993   19.0
52.8243   21.0
52.8493   17.0
52.8743   16.0
52.8993   19.0
52.9243   16.0
52.9493   19.0
52.9743   16.0
52.9993   13.0
53.0243   7.0
53.0493   20.0
53.0743   22.0
53.0993   17.0
53.1243   16.0
53.1493   12.0
53.1743   12.0
53.1993   22.0
53.2243   16.0
53.2493   19.0
53.2743   23.0
53.2993   13.0
53.3243   16.0
53.3493   12.0
53.3743   12.0
53.3993   12.0
53.4243   19.0
53.4493   10.0
53.4743   13.0
53.4993   22.0
53.5243   13.0
53.5493   19.0
53.5743   15.0
53.5993   16.0
53.6243   20.0
53.6493   15.0
53.6743   6.0
53.6993   12.0
53.7243   10.0
53.7493   15.0
53.7743   16.0
53.7993   16.0
53.8243   13.0
53.8493   16.0
53.8743   17.0
53.8993   16.0
53.9243   22.0
53.9493   17.0
53.9743   17.0
53.9993   20.0
54.0243   16.0
54.0493   13.0
54.0743   13.0
54.0993   20.0
54.1243   20.0
54.1493   21.0
54.1743   17.0
54.1993   25.0
54.2243   17.0
54.2493   16.0
54.2743   16.0
54.2993   17.0
54.3243   16.0
54.3493   16.0
54.3743   16.0
54.3993   20.0
54.4243   12.0
54.4493   12.0
54.4743   21.0
54.4993   16.0
54.5243   22.0
54.5493   17.0
54.5743   16.0
54.5993   12.0
54.6243   23.0
54.6493   25.0
54.6743   24.0
54.6993   23.0
54.7243   20.0
54.7493   15.0
54.7743   23.0
54.7993   24.0
54.8243   21.0
54.8493   22.0
54.8743   21.0
54.8993   29.0
54.9243   26.0
54.9493   20.0
54.9743   13.0
54.9993   24.0
55.0243   28.0
55.0493   22.0
55.0743   16.0
55.0993   26.0
55.1243   22.0
55.1493   19.0
55.1743   27.0
55.1993   24.0
55.2243   32.0
55.2493   29.0
55.2743   27.0
55.2993   26.0
55.3243   31.0
55.3493   26.0
