# SHAP Beeswarm Plot Raw Data
# Generated: 2025-05-07 01:56:55

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Lattice b_SHAP,Lattice b_Value,Lattice c_SHAP,Lattice c_Value,Biso o1_SHAP,Biso o1_Value,Biso o2_SHAP,Biso o2_Value,Biso o3_SHAP,Biso o3_Value,Biso pb_SHAP,Biso pb_Value,Biso s_SHAP,Biso s_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
39,-0.004143,-0.057330,-0.000474,8.478108,-0.000304,5.396710,-0.000400,6.958407,0.000189,1.989730,0.000140,1.468610,0.000123,1.318460,0.000133,1.413350,0.000395,0.418480,-0.000025,1.480047,-0.000180,0.155537,0.000422,-0.456056,-0.000397,0.419494
40,-0.002065,-0.109070,-0.000477,8.478465,-0.000302,5.397107,-0.000399,6.958745,0.000065,1.989890,0.000047,1.468630,0.000042,1.318480,0.000046,1.413220,0.000141,0.418460,0.000068,1.479766,-0.000152,0.155733,0.000059,-0.455929,-0.000081,0.419293
41,0.002640,-0.097240,0.000323,8.478388,0.000216,5.396412,0.000278,6.958420,-0.000033,1.989800,-0.000024,1.468630,-0.000025,1.318560,-0.000027,1.413290,-0.000066,0.418500,0.000239,1.479481,0.000268,0.155475,-0.000774,-0.455839,0.000721,0.418868
42,0.003809,-0.131780,-0.000037,8.478421,-0.000021,5.397192,-0.000042,6.957948,0.000535,1.989800,0.000398,1.468700,0.000353,1.318460,0.000379,1.413330,0.001166,0.418490,0.000155,1.482171,0.000092,0.155624,-0.000588,-0.456266,0.000515,0.419424
43,-0.008308,-0.086690,-0.000058,8.479289,-0.000040,5.396347,-0.000049,6.958085,0.000643,1.989730,0.000470,1.468510,0.000415,1.318650,0.000457,1.413410,0.001358,0.418480,-0.000167,1.480661,0.000108,0.155732,-0.000830,-0.455605,0.000724,0.419123
44,0.000071,-0.136000,0.002590,8.478543,0.001654,5.396380,0.002138,6.958893,-0.000137,1.989820,-0.000100,1.468620,-0.000089,1.318640,-0.000097,1.413370,-0.000278,0.418450,-0.000095,1.480737,0.000178,0.155629,-0.000444,-0.455662,0.000423,0.418947
45,0.013060,-0.057610,-0.000335,8.479406,-0.000219,5.396514,-0.000275,6.959081,-0.000085,1.989670,-0.000064,1.468570,-0.000061,1.318550,-0.000067,1.413460,-0.000187,0.418430,0.000374,1.479394,0.000002,0.155586,0.000213,-0.455810,-0.000177,0.419440
46,0.006350,-0.039770,-0.001523,8.478601,-0.000969,5.397173,-0.001254,6.958471,-0.001091,1.989900,-0.000802,1.468600,-0.000719,1.318460,-0.000771,1.413190,-0.002297,0.418500,-0.000204,1.482175,-0.000233,0.155563,0.000368,-0.455599,-0.000375,0.418916
47,-0.003450,-0.126380,-0.000423,8.479560,-0.000269,5.396341,-0.000344,6.958646,-0.000703,1.989830,-0.000519,1.468640,-0.000458,1.318670,-0.000500,1.413460,-0.001500,0.418510,-0.000180,1.479823,-0.000080,0.155722,0.000300,-0.456372,-0.000269,0.419437
48,-0.002223,-0.059600,0.002788,8.478315,0.001768,5.396460,0.002275,6.957911,0.000028,1.989610,0.000020,1.468580,0.000017,1.318700,0.000018,1.413270,0.000090,0.418440,0.000361,1.481733,-0.000378,0.155609,0.000729,-0.455710,-0.000707,0.419408
49,-0.008319,-0.109600,0.002095,8.479164,0.001327,5.396998,0.001710,6.958609,0.000418,1.989810,0.000309,1.468720,0.000280,1.318570,0.000298,1.413410,0.000887,0.418490,-0.000143,1.480252,-0.000348,0.155764,0.000929,-0.456165,-0.000869,0.418989
