# SHAP Beeswarm Plot Raw Data
# Generated: 2025-06-29 01:41:18

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Lattice b_SHAP,Lattice b_Value,Lattice c_SHAP,Lattice c_Value,Biso ba_SHAP,Biso ba_Value,Biso co_SHAP,Biso co_Value,Biso o1_SHAP,Biso o1_Value,Biso o2_SHAP,Biso o2_Value,Biso tb_SHAP,Biso tb_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
32,-0.000317,-0.015870,0.001123,3.755737,0.001733,5.824018,0.000350,11.552637,0.000275,0.030460,0.000272,0.030450,0.000271,0.030460,0.000279,0.030470,0.000272,0.030460,-0.000621,0.000434,-0.000085,0.026931,0.000084,-0.027509,-0.000050,0.016719
33,-0.001139,-0.038260,-0.000114,3.756228,-0.000174,5.823661,-0.000033,11.552171,-0.000084,0.030430,-0.000084,0.030470,-0.000081,0.030470,-0.000087,0.030440,-0.000085,0.030440,-0.000021,0.000434,0.000409,0.026924,-0.000416,-0.027520,0.000253,0.016709
34,-0.002561,-0.009820,0.000210,3.756016,0.000319,5.823916,0.000066,11.552902,0.000307,0.030450,0.000310,0.030470,0.000311,0.030460,0.000302,0.030460,0.000310,0.030470,-0.000174,0.000434,0.000287,0.026968,-0.000292,-0.027484,0.000149,0.016701
35,0.001557,-0.001420,0.000509,3.756130,0.000798,5.824358,0.000153,11.551552,0.002230,0.030460,0.002241,0.030430,0.002258,0.030450,0.002222,0.030430,0.002239,0.030450,-0.001829,0.000434,-0.001242,0.026942,0.001273,-0.027509,-0.000758,0.016716
36,-0.000937,-0.029670,0.000388,3.755637,0.000605,5.824298,0.000122,11.551236,-0.000726,0.030460,-0.000717,0.030450,-0.000721,0.030450,-0.000713,0.030460,-0.000724,0.030440,-0.003460,0.000433,-0.000420,0.026920,0.000427,-0.027475,-0.000316,0.016694
37,-0.001544,-0.024100,0.000133,3.756161,0.000199,5.823413,0.000041,11.552239,-0.000101,0.030440,-0.000101,0.030460,-0.000097,0.030460,-0.000104,0.030450,-0.000101,0.030460,-0.000407,0.000434,-0.000020,0.026947,0.000020,-0.027517,-0.000029,0.016702
38,-0.001951,-0.026380,0.000432,3.756012,0.000656,5.824225,0.000128,11.551304,0.000474,0.030450,0.000465,0.030450,0.000468,0.030460,0.000471,0.030470,0.000463,0.030440,-0.000253,0.000434,0.000187,0.026964,-0.000191,-0.027516,0.000138,0.016686
39,0.005977,-0.012320,-0.001206,3.756043,-0.001809,5.824192,-0.000393,11.551726,-0.000573,0.030440,-0.000572,0.030470,-0.000587,0.030470,-0.000557,0.030460,-0.000566,0.030460,0.002359,0.000434,-0.001081,0.026923,0.001101,-0.027484,-0.000661,0.016716
40,0.000934,-0.012150,0.000107,3.755862,0.000173,5.823742,0.000028,11.552742,-0.000763,0.030440,-0.000756,0.030460,-0.000767,0.030440,-0.000752,0.030430,-0.000763,0.030470,0.001555,0.000433,0.001199,0.026931,-0.001230,-0.027512,0.000745,0.016710
41,0.003609,-0.040800,-0.000284,3.755873,-0.000439,5.823484,-0.000085,11.552307,0.000915,0.030470,0.000914,0.030470,0.000911,0.030470,0.000921,0.030460,0.000918,0.030470,0.000065,0.000434,-0.000758,0.026943,0.000774,-0.027496,-0.000424,0.016714
42,-0.003149,-0.021040,-0.000491,3.755863,-0.000765,5.824308,-0.000149,11.550855,-0.000030,0.030460,-0.000039,0.030470,-0.000039,0.030440,-0.000033,0.030440,-0.000029,0.030450,0.001557,0.000433,0.000680,0.026965,-0.000700,-0.027493,0.000436,0.016688
43,0.000277,-0.027440,0.000507,3.756145,0.000773,5.823759,0.000164,11.552087,-0.000058,0.030440,-0.000055,0.030450,-0.000054,0.030440,-0.000055,0.030450,-0.000059,0.030470,-0.001558,0.000433,0.000606,0.026925,-0.000615,-0.027474,0.000391,0.016687
44,0.000143,-0.038080,-0.000060,3.756345,-0.000090,5.823593,-0.000018,11.552190,0.000273,0.030440,0.000272,0.030460,0.000273,0.030440,0.000271,0.030460,0.000274,0.030440,0.000102,0.000434,0.000200,0.026933,-0.000205,-0.027510,0.000120,0.016709
45,-0.001330,-0.016890,-0.001490,3.756270,-0.002360,5.823335,-0.000442,11.551027,-0.000667,0.030460,-0.000660,0.030450,-0.000657,0.030470,-0.000671,0.030460,-0.000669,0.030440,0.000211,0.000433,-0.000640,0.026964,0.000648,-0.027468,-0.000402,0.016707
46,0.002609,-0.037010,-0.000758,3.755811,-0.001163,5.823885,-0.000233,11.551243,-0.001061,0.030440,-0.001054,0.030430,-0.001044,0.030460,-0.001077,0.030450,-0.001045,0.030450,-0.001935,0.000434,-0.000476,0.026931,0.000486,-0.027486,-0.000311,0.016715
47,-0.000653,-0.014760,0.000110,3.756082,0.000170,5.823769,0.000034,11.552383,0.000077,0.030460,0.000079,0.030460,0.000081,0.030460,0.000076,0.030470,0.000076,0.030450,0.000300,0.000433,0.000208,0.026920,-0.000212,-0.027504,0.000110,0.016719
48,0.002774,-0.012210,0.000392,3.756145,0.000604,5.823987,0.000129,11.550858,0.000360,0.030440,0.000348,0.030460,0.000364,0.030440,0.000351,0.030470,0.000360,0.030450,-0.001158,0.000434,-0.001274,0.026928,0.001302,-0.027475,-0.000781,0.016713
49,0.000645,-0.022520,0.002343,3.755879,0.003662,5.824077,0.000716,11.551528,0.000805,0.030450,0.000800,0.030430,0.000801,0.030450,0.000804,0.030460,0.000808,0.030440,0.000550,0.000434,-0.000017,0.026953,0.000017,-0.027490,-0.000016,0.016713
