 0.069 0.05 150.0  S151(Co) RT D1A 1.91A        MON=5000
 9    54 9    55 9    60 9    58 9    59 9    65 9    64 9    60 9    58 9    58
 9    59 9    62 9    60 9    59 9    55 9    58 9    60 9    60 9    63 9    59
 9    57 9    60 9    60 9    63 9    64 9    58 9    57 9    56 9    57 9    54
 9    54 9    56 9    59 9    61 9    60 9    61 9    61 9    58 10   60 10   60
 10   63 10   61 10   58 10   57 10   59 10   57 10   56 10   61 10   58 10   59
 10   59 10   59 10   60 10   58 10   57 10   56 10   59 10   58 10   60 10   61
 10   58 10   54 10   57 10   55 10   57 10   55 10   57 10   57 10   59 10   56
 10   55 10   55 10   55 10   56 10   57 10   54 10   56 10   59 10   57 10   55
 10   59 10   60 10   57 10   58 10   59 10   56 10   57 10   62 10   65 10   62
 10   64 10   68 10   68 10   79 10   85 10   94 10  114 10  127 10  145 10  170
 10  191 10  212 10  215 10  206 10  189 10  172 10  146 10  117 10  100 10   86
 10   75 10   67 10   63 10   62 10   60 10   63 10   61 10   61 10   58 10   62
 10   60 10   60 10   62 10   67 10   71 10   73 10   86 10  102 10  125 10  163
 10  226 10  310 10  419 10  559 10  717 10  954 10 1220 10 1569 10 1926 10 2274
 10 2576 10 2730 10 2721 10 2569 10 2250 10 1828 10 1394 10  977 10  655 10  426
 10  279 10  185 10  137 10  123 10  125 10  145 10  159 10  184 10  202 10  215
 10  211 10  206 10  184 10  158 10  128 10  111 10   95 10   85 10   72 10   67
 10   66 10   62 10   60 10   61 10   59 10   61 10   59 10   59 10   58 10   60
 10   56 10   58 10   61 10   59 10   58 10   59 10   59 10   58 10   59 10   61
 10   62 10   61 10   57 10   60 10   61 10   60 10   56 10   57 10   58 10   61
 10   59 10   56 10   60 10   62 10   60 10   61 10   61 10   64 10   72 10   71
 10   76 10   77 10   78 10   76 10   79 10   78 10   70 10   68 10   62 10   61
 10   60 10   58 10   62 10   60 10   57 10   57 10   57 10   55 10   58 10   58
 10   58 10   58 10   58 10   57 10   57 10   56 10   56 10   56 10   56 10   59
 10   59 10   62 10   61 10   58 10   55 10   56 10   57 10   59 10   59 10   62
 10   58 10   59 10   62 10   69 10   74 10   80 10   86 10   98 10  107 10  119
 10  125 10  122 10  115 10  106 10   99 10   94 10   84 10   71 10   65 10   63
 10   59 10   57 10   55 10   56 10   56 10   57 10   57 10   57 10   62 10   60
 10   60 10   61 10   58 10   59 10   63 10   63 10   68 10   79 10   89 10  112
 10  136 10  166 10  192 10  231 10  274 10  309 10  334 10  354 10  355 10  328
 10  292 10  252 10  201 10  158 10  121 10  102 10   85 10   73 10   72 10   73
 10   77 10   87 10   96 10  100 10  106 10  106 10  107 10  104 10   93 10   86
 10   76 10   68 10   65 10   64 10   63 10   61 10   58 10   60 10   62 10   58
 10   55 10   56 10   54 10   57 10   58 10   58 10   58 10   58 10   59 10   56
 10   58 10   62 10   58 10   60 10   62 10   60 10   62 10   66 10   62 10   62
 10   68 10   71 10   82 10   85 10   91 10  101 10  107 10  112 10  114 10  112
 10  108 10   96 10   89 10   85 10   77 10   71 10   69 10   64 10   64 10   61
 10   60 10   63 10   59 10   57 10   57 10   58 10   60 10   60 10   58 10   56
 10   59 10   57 10   61 10   61 10   57 10   60 10   59 10   59 10   58 10   57
 10   60 10   61 10   63 10   66 10   64 10   56 10   59 10   63 10   63 10   64
 10   65 10   70 10   76 10   85 10  104 10  135 10  177 10  232 10  310 10  389
 10  452 10  492 10  510 10  490 10  425 10  350 10  271 10  198 10  143 10  110
 10   90 10   80 10   73 10   67 10   65 10   66 10   64 10   68 10   70 10   73
 10   74 10   83 10  104 10  131 10  179 10  253 10  371 10  525 10  712 10  919
 10 1149 10 1354 10 1494 10 1589 10 1587 10 1502 10 1343 10 1124 10  878 10  646
 10  457 10  297 10  193 10  137 10  105 10   86 10   74 10   74 10   73 10   71
 10   66 10   63 10   67 10   67 10   64 10   64 10   64 10   64 10   64 10   67
 10   64 10   60 10   62 10   65 10   68 10   66 10   68 10   66 10   66 10   65
 10   62 10   66 10   65 10   62 10   64 10   65 10   61 10   62 10   63 10   65
 10   66 10   65 10   64 10   66 10   66 10   67 10   71 10   77 10   85 10   99
 10  107 10  114 10  126 10  127 10  129 10  127 10  115 10  107 10   94 10   88
 10   80 10   68 10   68 10   66 10   66 10   67 10   64 10   65 10   64 10   65
 10   68 10   70 10   73 10   68 10   68 10   69 10   70 10   69 10   67 10   68
 10   69 10   62 10   64 10   66 10   69 10   67 10   70 10   68 10   67 10   69
 10   67 10   68 10   73 10   76 10   83 10   97 10  126 10  168 10  238 10  348
 10  521 10  734 10  980 10 1214 10 1355 10 1405 10 1339 10 1153 10  928 10  682
 10  472 10  311 10  216 10  150 10  112 10   89 10   82 10   78 10   74 10   68
 10   71 10   72 10   67 10   68 10   64 10   69 10   66 10   66 10   68 10   69
 10   67 10   68 10   66 10   66 10   72 10   73 10   72 10   79 10   90 10  102
 10  123 10  155 10  185 10  216 10  251 10  272 10  275 10  266 10  242 10  206
 10  173 10  145 10  124 10  101 10   89 10   81 10   71 10   68 10   63 10   63
 10   66 10   71 10   67 10   64 10   64 10   64 10   68 10   68 10   68 10   66
 10   65 10   66 10   70 10   69 10   65 10   65 10   64 10   63 10   64 10   67
 10   66 10   66 10   64 10   64 10   63 10   63 10   64 10   63 10   67 10   66
 10   64 10   68 10   72 10   72 10   69 10   70 10   70 10   71 10   69 10   68
 10   67 10   67 10   71 10   70 10   67 10   66 10   67 10   66 10   67 10   72
 10   72 10   68 10   65 10   66 10   70 10   69 10   70 10   67 10   71 10   69
 10   68 10   68 10   71 10   68 10   70 10   66 10   64 10   63 10   65 10   66
 10   63 10   64 10   65 10   68 10   69 10   67 10   70 10   74 10   79 10   89
 10  105 10  122 10  146 10  177 10  192 10  200 10  192 10  173 10  151 10  125
 10  105 10   89 10   78 10   77 10   74 10   71 10   69 10   67 10   70 10   75
 10   76 10   75 10   76 10   81 10   89 10   99 10  121 10  158 10  219 10  303
 10  440 10  618 10  854 10 1104 10 1347 10 1560 10 1757 10 1956 10 2044 10 2038
 10 1914 10 1674 10 1363 10 1039 10  772 10  576 10  435 10  345 10  273 10  231
 10  201 10  197 10  203 10  216 10  221 10  222 10  202 10  176 10  144 10  121
 10  102 10   87 10   76 10   72 10   68 10   65 10   66 10   67 10   65 10   67
 10   66 10   67 10   67 10   65 10   65 10   63 10   64 10   66 10   66 10   68
 10   66 10   66 10   65 10   68 10   69 10   68 10   67 10   67 10   65 10   63
 10   64 10   66 10   66 10   65 10   66 10   69 10   69 10   69 10   72 10   72
 10   78 10   80 10   76 10   75 10   72 10   68 10   69 10   65 10   63 10   64
 10   61 10   57 10   65 10   64 10   66 10   62 10   60 10   63 10   62 10   64
 10   62 10   60 10   61 10   64 10   64 10   64 10   65 10   64 10   66 10   62
 10   63 10   68 10   65 10   68 10   67 10   67 10   67 10   67 10   63 10   67
 10   66 10   67 10   70 10   66 10   65 10   65 10   66 10   66 10   65 10   65
 10   67 10   66 10   68 10   67 10   70 10   67 10   62 10   66 10   68 10   71
 10   74 10   79 10   86 10   90 10  101 10  111 10  124 10  130 10  139 10  140
 10  150 10  161 10  175 10  205 10  218 10  234 10  251 10  254 10  246 10  226
 10  206 10  188 10  174 10  165 10  155 10  155 10  152 10  143 10  129 10  119
 10  102 10   93 10   86 10   83 10   79 10   80 10   75 10   74 10   72 10   67
 10   69 10   69 10   66 10   69 10   70 10   67 10   66 10   67 10   64 10   66
 10   62 10   64 10   63 10   62 10   64 10   64 10   66 10   65 10   64 10   64
 10   64 10   65 10   67 10   69 10   67 10   72 10   76 10   83 10   94 10  112
 10  134 10  168 10  211 10  239 10  261 10  269 10  256 10  234 10  195 10  152
 10  127 10  107 10   93 10   81 10   77 10   75 10   70 10   66 10   70 10   65
 10   68 10   67 10   67 10   64 10   64 10   65 10   67 10   68 10   67 10   71
 10   70 10   65 10   66 10   69 10   68 10   66 10   69 10   67 10   67 10   67
 10   71 10   72 10   68 10   69 10   70 10   69 10   73 10   78 10   81 10   90
 10  106 10  131 10  181 10  241 10  303 10  370 10  419 10  413 10  384 10  322
 10  249 10  183 10  135 10  112 10   92 10   81 10   78 10   73 10   70 10   70
 10   73 10   74 10   78 10   81 10   88 10   98 10  108 10  119 10  131 10  137
 10  137 10  139 10  144 10  159 10  203 10  266 10  356 10  463 10  555 10  598
 10  622 10  573 10  486 10  383 10  285 10  208 10  155 10  125 10  104 10   94
 10   95 10  101 10  103 10  118 10  133 10  145 10  154 10  149 10  141 10  129
 10  112 10   97 10   86 10   80 10   74 10   74 10   70 10   69 10   68 10   66
 10   68 10   69 10   68 10   72 10   71 10   69 10   66 10   70 10   72 10   71
 10   70 10   69 10   70 10   71 10   72 10   73 10   75 10   72 10   76 10   77
 10   76 10   84 10   95 10  105 10  121 10  138 10  156 10  165 10  165 10  153
 10  146 10  134 10  125 10  116 10  109 10  103 10   96 10   89 10   79 10   77
10    73 9    72 9    69 9    67 9    72 9    71 9    70 9    68 9    63 9    64
 9    66 9    68 9    66 9    66 9    68 9    71 9    68 9    66 9    68 9    68
 9    66 9    68 9    70 9    70 9    72 9    71 9    72 9    74 9    75 9    80
 9    85 9    99 9   122 9   159 9   215 9   325 9   459 9   605 9   742 9   849
 9   886 9   805 9   679 9   520 9   384 9   271 9   197 9   141 9   112 9    94
 9    87 9    80 9    73 9    71 9    71 9    70 9    71 9    71 9    64 9    65
 9    67 9    70 9    73 9    77 9    82 9    89 9   102 9   122 9   152 9   212
 9   290 9   394 9   530 9   633 9   697 9   699 9   667 9   627 9   591 9   612
 9   658 9   737 9   788 9   773 9   705 9   598 9   484 9   385 9   289 9   223
 9   172 9   131 9   112 9    92 9    83 9    76 9    71 9    72 9    72 9    67
 9    67 9    71 9    72 9    67 9    67 9    67 9    64 9    64 9    66 9    63
 9    63 9    63 9    67 9    68 9    66 9    64 9    63 9    65 9    62 9    67
 8    66 8    62 8    63 8    67 8    62 8    61 8    66 8    64 8    66 8    62
 8    63 8    63 8    66 8    65 8    65 8    67 8    65 8    63 8    62 8    66
 8    64 8    64 8    62 8    64 8    62 8    63 8    62 8    68 8    64 8    63
 8    66 8    65 8    67 8    66 8    63 8    65 8    63 8    63 8    64 8    66
 8    69 8    66 8    67 8    70 8    66 8    63 8    66 8    65 8    67 8    65
 8    67 8    63 8    65 8    69 8    68 8    62 8    63 8    65 8    72 8    66
 8    65 8    66 8    65 8    76 8    84 8   101 8   116 8   143 8   180 8   207
 8   226 8   224 8   210 8   194 8   157 8   134 8   114 8   101 8    87 8    77
 8    72 8    71 8    72 8    67 8    64 8    68 8    68 8    68 8    71 8    74
 8    74 8    80 8    90 8    93 8   107 8   136 8   172 8   230 8   324 8   432
 8   559 8   704 8   792 8   816 8   797 8   743 8   684 8   624 8   584 8   544
 8   519 8   500 8   479 8   466 8   465 8   452 8   432 8   385 8   332 8   281
 8   234 7   182 7   150 7   131 7   110 7    96 7    83 7    78 7    70 7    69
 7    71 7    70 7    69 7    67 7    65 7    69 7    66 7    64 7    62 7    65
 7    63 7    63 7    65 7    64 7    69 7    68 7    68 7    63 7    60 7    65
 7    60 7    61 7    65 7    66 7    60 7    63 7    59 7    59 7    62 7    64
 7    64 7    60 7    61 7    61 7    59 7    63 7    66 7    64 7    62 7    61
 7    63 7    65 7    61 7    64 7    64 7    63 7    64 7    65 7    61 7    59
 7    56 7    61 7    64 7    56 7    64 7    63 7    64 7    63 7    60 7    57
 7    61 7    61 7    61 7    60 7    61 7    62 7    62 7    61 7    63 7    62
 7    60 7    62 7    66 7    66 7    63 7    65 7    66 7    67 7    62 7    64
 7    66 7    67 7    64 7    67 7    66 7    66 7    61 7    63 7    61 7    66
 7    65 7    65 7    72 7    76 7    76 7    79 7    88 7   102 7   110 7   119
 7   121 7   117 7   114 7   109 7   101 7    86 7    80 7    77 7    74 7    70
 7    65 6    62 6    65 6    72 6    73 6    72 6    75 6    77 6    84 6    89
 6    94 6   109 6   131 6   156 6   184 6   220 6   242 6   260 6   264 6   267
 6   243 6   224 6   203 6   183 6   171 6   167 6   154 6   149 6   149 6   151
 6   160 6   164 6   159 6   160 6   147 6   144 6   129 6   116 6   106 6    97
 6    81 6    75 6    78 6    74 6    74 6    71 6    67 6    67 6    76 6    79
 6    81 6    81 6    74 6    72 6    73 6    73 6    68 6    70 6    64 6    65
 6    66 6    67 6    62 6    60 6    59 6    61 6    65 6    69 6    65 6    69
 6    65 6    60 6    64 6    69 6    70 6    66 6    72 6    72 6    74 6    76
 6    81 6    89 6   101 6   114 6   136 6   145 6   158 6   158 6   163 6   161
